ticker,ticker_eodhd,close,rv_current,rv_percentile,rv_52w_max,expansion_ratio,tier,rv_short,term_structure,dollar_volume_30d,last_date,rank_expansion,rank_vol_band,borda_score,borda_rank,is_candidate
COST,COST.US,956.32,31.54,100.0,31.54,1.0,INSUFFICIENT,24.8,0.786,1995328751,2026-05-29,1.0,34.0,18.0,1,True
TJX,TJX.US,154.75,32.19,99.6,32.38,1.01,INSUFFICIENT,14.31,0.445,827216048,2026-05-29,2.0,39.0,21.5,2,True
CME,CME.US,273.54,31.79,98.8,32.29,1.02,INSUFFICIENT,21.3,0.67,671348420,2026-05-29,4.0,36.0,22.0,3,True
NSC,NSC.US,304.96,31.5,93.3,35.92,1.14,INSUFFICIENT,49.35,1.567,366449695,2026-05-29,15.0,33.0,31.5,4,True
CVX,CVX.US,182.46,28.45,87.3,34.69,1.22,INSUFFICIENT,25.63,0.901,1871187731,2026-05-29,24.0,25.0,36.5,5,True
EOG,EOG.US,133.38,28.79,65.9,36.31,1.26,INSUFFICIENT,27.53,0.956,478882395,2026-05-29,29.0,17.0,37.5,6,True
XHB,XHB.US,102.63,30.4,67.5,38.47,1.27,INSUFFICIENT,17.47,0.575,243178723,2026-05-29,32.0,15.0,39.5,7,True
TSN,TSN.US,61.02,30.68,87.7,38.75,1.26,INSUFFICIENT,46.21,1.506,174328862,2026-05-29,30.0,22.0,41.0,8,True
EEM,EEM.US,68.6,29.79,85.7,39.71,1.33,INSUFFICIENT,26.72,0.897,1925891126,2026-05-29,38.0,7.0,41.5,9,True
JNPR,JNPR.US,39.95,34.29,96.4,36.23,1.06,INSUFFICIENT,56.62,1.651,130125805,2025-07-02,8.0,68.0,42.0,10,False
XLE,XLE.US,56.29,26.89,90.9,32.54,1.21,INSUFFICIENT,20.92,0.778,2261397001,2026-05-29,23.0,41.0,43.5,11,False
UNP,UNP.US,262.64,30.58,90.1,39.9,1.3,INSUFFICIENT,46.74,1.528,867667134,2026-05-29,36.0,20.0,46.0,12,False
MDT,MDT.US,73.81,25.38,83.3,28.87,1.14,INSUFFICIENT,19.01,0.749,757837013,2026-05-29,14.0,65.0,46.5,13,False
XRT,XRT.US,83.99,26.59,95.6,32.85,1.24,INSUFFICIENT,23.22,0.873,480541117,2026-05-29,26.0,44.0,48.0,14,False
HLT,HLT.US,327.66,26.52,76.6,32.85,1.24,INSUFFICIENT,39.41,1.486,548337787,2026-05-29,27.0,46.0,50.0,15,False
XOM,XOM.US,145.26,35.25,93.3,39.59,1.12,INSUFFICIENT,19.11,0.542,2443996290,2026-05-29,12.0,81.0,52.5,16,False
SYK,SYK.US,305.09,29.61,92.1,42.47,1.43,INSUFFICIENT,20.75,0.701,835011723,2026-05-29,53.0,1.0,53.5,17,False
